island,year,source_table,area,area_type,area_pop_total,sex,age_band,count,data_type,notes
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,30-34,224,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,35-39,199,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,40-44,227,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,45-49,253,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,50-54,291,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,55-59,347,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,60-64,292,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,65-69,249,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,70-74,280,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,75-79,177,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,80-84,147,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,85+,114,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,0-4,185,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,5-9,193,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,10-14,177,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,15-19,216,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,20-24,215,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,25-29,214,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,30-34,211,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,35-39,226,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,40-44,253,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,45-49,290,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,50-54,284,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,55-59,316,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,60-64,289,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,65-69,266,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,70-74,279,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,75-79,233,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,80-84,196,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Female,85+,234,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,0-4,271,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,5-9,338,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,10-14,377,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,15-19,268,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,20-24,252,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,25-29,305,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,30-34,356,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,35-39,425,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,40-44,379,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,45-49,377,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,50-54,420,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,55-59,388,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,60-64,346,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,65-69,318,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,70-74,354,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,75-79,240,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,80-84,135,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,All,85+,161,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,0-4,139,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,5-9,175,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,10-14,188,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,15-19,140,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,20-24,113,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,25-29,159,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,30-34,162,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,35-39,217,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,40-44,183,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,45-49,182,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,50-54,202,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,55-59,198,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,60-64,174,published_exact,Part I Table 2.2
