# Crown Dependencies & England/Wales — Suicide Mortality Data
# Compiled by Coalfinch from public sources. See source column for each row.
# Samaritans helpline: 116 123 (free, 24/7) | www.samaritans.org
# IoM: Lifeline 0808 808 8000 | GY: Samaritans 116 123 | JE: Samaritans 116 123
#
# NOTES ON METHODOLOGY
# E&W: ONS annual registrations. ASMR = 2013 European Standard Population, ages 10+.
#   Standard of proof changed 26 July 2018 (criminal→civil). Series not directly comparable across this break.
# IoM: IOM Public Health Directorate. Annual counts = year of registration, ICD-10 X60-X84 + Y10-Y34.
#   Population ~85,000 throughout. ASMR = 3yr rolling, 2013 ESP, from IOM Mortality Report 2022 Fig 29 + FOI.
# Guernsey: Public Health Intelligence Unit. Annual data only available as 3-year averages (small numbers).
#   Population ~63,000–64,000. ASMR = 3yr rolling, 2013 ESP, from Mortality Trends 2021 & 2024.
#   Definition: ICD-10 X60-X84 + Y10-Y34 (suicide + undetermined intent). Includes Alderney.
# Jersey: Health and Care Jersey / Statistics Jersey. Annual counts from Jersey Mortality Statistics reports.
#   Population ~103,000–107,000. ASMR = 3yr rolling, 2013 ESP, from Jersey Mortality Statistics 2020 & 2024.
#   Definition: intentional self-harm + undetermined intent (consistent with ONS).
#
# SERIES TYPES
# count_annual = confirmed annual registration count (deaths)
# count_3yr_avg = 3-year rolling average annual count (used where annual figures not published due to small numbers)
# rate_crude = count / population * 100,000 (calculated, not published)
# rate_asmr_3yr = 3-year rolling age-standardised mortality rate per 100,000, 2013 ESP (published)
# rate_asmr_annual = single-year ASMR per 100,000, 2013 ESP (published for E&W only)
#
jurisdiction,year,series_type,value,value_notes,source,source_url
#
# ── ENGLAND & WALES ──────────────────────────────────────────────────────────────
# ── ISLE OF MAN ───────────────────────────────────────────────────────────────────
# Annual registration counts: IOM Mortality Report 2022 Fig 28 + FOI 4081089 for 2023
# ICD-10 X60-X84 + Y10-Y34. Year of registration (not year of death).
# Population ~85,000 throughout. Crude rate = count / 85000 * 100000.
Isle of Man,2006,count_annual,6,,IOM Mortality Report 2022 Figure 28 (IOM Public Health Directorate),https://www.gov.im/
Isle of Man,2007,count_annual,9,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2008,count_annual,9,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2009,count_annual,15,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2010,count_annual,7,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2011,count_annual,9,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2012,count_annual,9,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2013,count_annual,12,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2014,count_annual,2,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2015,count_annual,11,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2016,count_annual,6,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2017,count_annual,8,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2018,count_annual,12,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2019,count_annual,8,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2020,count_annual,24,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2021,count_annual,9,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2022,count_annual,12,,IOM Mortality Report 2022 Figure 28,https://www.gov.im/
Isle of Man,2023,count_annual,14,FOI ref 4081089 — 14 suicides + 5 misadventures (separate category),IOM Cabinet Office FOI 4081089 (2024),https://www.gov.im/
Isle of Man,2006,rate_crude,7.1,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2007,rate_crude,10.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2008,rate_crude,10.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2009,rate_crude,17.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2010,rate_crude,8.2,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2011,rate_crude,10.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2012,rate_crude,10.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2013,rate_crude,14.1,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2014,rate_crude,2.4,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2015,rate_crude,12.9,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2016,rate_crude,7.1,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2017,rate_crude,9.4,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2018,rate_crude,14.1,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2019,rate_crude,9.4,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2020,rate_crude,28.2,count/85000*100000 — registration-year spike; year-of-death count was 19,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2021,rate_crude,10.6,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2022,rate_crude,14.1,count/85000*100000,Calculated from IOM Mortality Report 2022 Fig 28,https://www.gov.im/
Isle of Man,2023,rate_crude,16.5,count/85000*100000,Calculated from IOM Cabinet Office FOI 4081089,https://www.gov.im/
# IOM 3yr rolling ASMR (plotted at midpoint year) — 2013 ESP
