year_ended,section,line,amount_gbp
2024,Sanitation,Refuse contract,204321
2024,Sanitation,Wheelie bin purchase,0
2024,Sanitation,Western Civic Amenity Site charges,157408
2024,Sanitation,Street cleaning,10742
2024,Sanitation,Commercial refuse income (credit),-48966
2024,Works,Works (employee costs),20326
2024,Works,Commercial properties (employee costs),5622
2024,Works,General properties (employee costs),15036
2024,Works,Admin - Foreman (employee costs),160
2024,Works,Attendants (employee costs),71940
2024,Works,Street lighting costs,124788
2024,Works,Commercial property costs,10550
2024,Works,Mill Road yard costs,25242
2024,Works,"Seats, bins, flags, signs, clocks etc",859
2024,Works,"Shelters, CCTV, road repairs",351
2024,Works,Repairs to toilets,13326
2024,Works,Clothing,2845
2024,Works,Replacement equipment,2473
2024,Works,"Vehicle running costs (tax, fuel, repairs)",46062
2024,Works,Drainage recharge costs,0
2024,Works,Westlands recharge costs,12652
2024,Works,Housing pilot scheme recharge costs,0
2024,Works,Other recharge costs,0
2024,Works,Westlands recharge income (credit),-17457
2024,Works,Grass cutting recharge income (credit),0
2024,Works,Housing pilot scheme recharge income (credit),0
2024,Works,Commercial rents (credit),-48273
2024,Works,Garage rents (credit),-53589
2024,Works,Car park fees (credit),-5608
2024,Parks,Grass cutting (employee costs),77416
2024,Parks,Gardening (employee costs),25104
2024,Parks,Cleaning (employee costs),25962
2024,Parks,Playground costs,3695
2024,Parks,Amenity areas,25284
2024,Parks,Skateboard/BMX costs,126
2024,Parks,Beach costs,20659
2024,Parks,Bowls and tennis costs,4149
2024,Parks,Peel Hill rents (credit),-5757
2024,Parks,Shell tipping fees (credit),0
2024,Civic,Public functions (employee costs),6967
2024,Civic,Ward library (employee costs),16482
2024,Civic,Leece Museum (employee costs),0
2024,Civic,Ward library running costs,12413
2024,Civic,Leece Museum running costs,9370
2024,Civic,Campsite costs,36471
2024,Civic,Phillip Christian Centre costs,6052
2024,Civic,Western Swimming Pool Joint Board contribution,10532
2024,Civic,Public function fireworks,6744
2024,Civic,Peel Day,11977
2024,Civic,Carnival Day,5000
2024,Civic,Christmas costs,36883
2024,Civic,Other public function costs,16364
2024,Civic,Campsite fees (credit),-140459
2024,Civic,Leece Museum income (credit),-150
2024,Civic,Public function income (credit),-18890
2024,Admin,Office salaries (employee costs),267658
2024,Admin,"Unallocated re covid, illness etc (employee costs)",56678
2024,Admin,Rates payable,5076
2024,Admin,Website costs,3881
2024,Admin,"Printing, stationery, photocopier etc",1827
2024,Admin,Postage,1654
2024,Admin,Election expenses,0
2024,Admin,Commissioners' attendance allowances,1625
2024,Admin,Town Hall maintenance,5380
2024,Admin,Computer costs,32800
